,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
193,0.1,0.0512,0.01,500,0.9666666388511658,9.399176597595215
194,0.1,0.0512,0.01,2500,0.9666666388511658,19.12511968612671
195,0.1,0.0512,0.1,100,0.9333333373069763,6.763071060180664
196,0.1,0.0512,0.1,500,0.9666666388511658,8.990134000778198
197,0.1,0.0512,0.1,2500,0.9666666388511658,19.625778436660767
198,0.1,0.0512,1.0,100,0.9666666388511658,6.7830970287323
199,0.1,0.0512,1.0,500,0.7666666507720947,8.960044384002686
200,0.1,0.0512,1.0,2500,0.9666666388511658,19.63837194442749
201,0.1,0.0512,10.0,100,0.2666666805744171,7.034642934799194
202,0.1,0.0512,10.0,500,0.2666666805744171,9.036811113357544
203,0.1,0.0512,10.0,2500,0.2666666805744171,19.468137979507446
204,0.1,0.2048,0.01,100,0.5333333611488342,6.896839141845703
205,0.1,0.2048,0.01,500,0.9666666388511658,8.890204429626465
206,0.1,0.2048,0.01,2500,0.2666666805744171,19.66715145111084
207,0.1,0.2048,0.1,100,0.2666666805744171,6.961485147476196
208,0.1,0.2048,0.1,500,0.9333333373069763,9.008357048034668
209,0.1,0.2048,0.1,2500,0.9666666388511658,19.54768419265747
210,0.1,0.2048,1.0,100,0.2666666805744171,6.309615850448608
211,0.1,0.2048,1.0,500,0.8666666746139526,9.286924362182617
212,0.1,0.2048,1.0,2500,0.9333333373069763,19.422143936157227
213,0.1,0.2048,10.0,100,0.2666666805744171,6.611507415771484
214,0.1,0.2048,10.0,500,0.2666666805744171,8.56757640838623
215,0.1,0.2048,10.0,2500,0.2666666805744171,18.8258216381073
