,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
142,0.05,0.2048,10.0,500,0.2666666805744171,8.821673631668089,0
143,0.05,0.2048,10.0,2500,0.2666666805744171,19.455888032913208,0
144,0.1,0.0002,0.01,100,0.2666666805744171,6.827972173690796,0
145,0.1,0.0002,0.01,500,0.03333333507180214,9.007530450820925,0
146,0.1,0.0002,0.01,2500,0.2666666805744171,19.55630159378052,0
147,0.1,0.0002,0.1,100,0.4666666686534882,6.8744943141937265,0
148,0.1,0.0002,0.1,500,0.2666666805744171,9.074914216995241,0
149,0.1,0.0002,0.1,2500,0.2666666805744171,19.100447416305546,0
150,0.1,0.0002,1.0,100,0.2666666805744171,6.771312236785889,0
151,0.1,0.0002,1.0,500,0.2666666805744171,9.010050058364866,0
152,0.1,0.0002,1.0,2500,0.4666666686534882,19.239851713180546,0
153,0.1,0.0002,10.0,100,0.2666666805744171,6.689142942428589,0
154,0.1,0.0002,10.0,500,0.2666666805744171,8.780207872390747,0
155,0.1,0.0002,10.0,2500,0.2666666805744171,19.221912384033203,0
156,0.1,0.0008,0.01,100,0.2666666805744171,6.92464804649353,0
157,0.1,0.0008,0.01,500,0.2666666805744171,8.608269453048706,0
158,0.1,0.0008,0.01,2500,0.5333333611488342,19.436745643615726,1
159,0.1,0.0008,0.1,100,0.2666666805744171,6.688130617141724,0
160,0.1,0.0008,0.1,500,0.4666666686534882,9.013472557067873,0
161,0.1,0.0008,0.1,2500,0.0,19.445197105407715,0
162,0.1,0.0008,1.0,100,0.5333333611488342,7.100877523422241,1
163,0.1,0.0008,1.0,500,0.2666666805744171,8.717350482940674,0
164,0.1,0.0008,1.0,2500,0.4666666686534882,19.207500457763672,0
165,0.1,0.0008,10.0,100,0.4666666686534882,7.006356954574585,0
166,0.1,0.0008,10.0,500,0.5333333611488342,9.050742626190186,1
167,0.1,0.0008,10.0,2500,0.5333333611488342,19.00189638137817,1
168,0.1,0.0032,0.01,100,0.7333333492279053,7.018513441085815,1
169,0.1,0.0032,0.01,500,0.5333333611488342,8.623480319976808,1
170,0.1,0.0032,0.01,2500,0.5333333611488342,19.30197310447693,1
171,0.1,0.0032,0.1,100,0.4333333373069763,6.822465896606445,0
172,0.1,0.0032,0.1,500,0.5333333611488342,8.827887773513792,1
173,0.1,0.0032,0.1,2500,0.9666666388511658,19.39227914810181,2
174,0.1,0.0032,1.0,100,0.5333333611488342,6.726038455963135,1
175,0.1,0.0032,1.0,500,0.5333333611488342,8.728336811065674,1
176,0.1,0.0032,1.0,2500,0.5666666626930237,19.384541273117065,1
177,0.1,0.0032,10.0,100,0.8999999761581421,7.200642347335815,2
178,0.1,0.0032,10.0,500,0.2666666805744171,8.688104391098022,0
179,0.1,0.0032,10.0,2500,0.2666666805744171,19.088521003723145,0
180,0.1,0.0128,0.01,100,0.2666666805744171,6.7929251194000235,0
181,0.1,0.0128,0.01,500,0.8666666746139526,8.861582279205322,2
